<jemalloc>: option background_thread currently supports pthread only
           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.18.3, build: db8fa43f
Access web UI at http://localhost:6333/dashboard
Agentic Skills: https://skills.qdrant.tech/

2026-08-06T03:49:46.590341Z  WARN qdrant::settings: Config file not found: config/config
2026-08-06T03:49:46.590363Z  WARN qdrant::settings: Config file not found: config/development
2026-08-06T03:49:46.590415Z  INFO storage::content_manager::consensus::persistent: Loading raft state from ./storage/raft_state.json
2026-08-06T03:49:46.591493Z  INFO storage::content_manager::toc: Loading collection: chat_history
2026-08-06T03:49:46.596231Z  INFO collection::shards::local_shard: Recovering shard ./storage/collections/chat_history/0: 0/1 (0%)
2026-08-06T03:49:46.596284Z  INFO collection::shards::local_shard: Recovered collection chat_history: 1/1 (100%)
2026-08-06T03:49:46.596589Z  INFO qdrant: Distributed mode disabled
2026-08-06T03:49:46.596605Z  INFO qdrant: Telemetry reporting enabled, id: cb4329a8-f263-4c38-9129-12ed9b74f8df
2026-08-06T03:49:46.597045Z  WARN qdrant::actix::web_ui: Static content folder for Web UI './static' does not exist
2026-08-06T03:49:46.597078Z  INFO qdrant::actix: REST transport settings: keep_alive=5s, client_request_timeout=5s, client_disconnect_timeout=5s
2026-08-06T03:49:46.597085Z  INFO qdrant::actix: TLS disabled for REST API
2026-08-06T03:49:46.597196Z  INFO qdrant::actix: Qdrant HTTP listening on 6333
2026-08-06T03:49:46.597208Z  INFO actix_server::builder: starting 11 workers
2026-08-06T03:49:46.597218Z  INFO actix_server::server: Actix runtime found; starting in Actix runtime
2026-08-06T03:49:46.597224Z  INFO actix_server::server: starting service: "actix-web-service-0.0.0.0:6333", workers: 11, listening on: 0.0.0.0:6333
2026-08-06T03:49:46.601969Z  INFO qdrant::tonic: Qdrant gRPC listening on 6334
2026-08-06T03:49:46.601981Z  INFO qdrant::tonic: TLS disabled for gRPC API
2026-08-07T15:25:57.567095Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points/search HTTP/1.1" 404 90 "-" "axios/1.19.0" 0.029238
2026-08-07T15:26:17.622986Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points/search HTTP/1.1" 404 93 "-" "axios/1.19.0" 0.039483
2026-08-07T15:26:51.424699Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points/search HTTP/1.1" 404 91 "-" "axios/1.19.0" 0.029395
2026-08-07T15:26:51.424696Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "axios/1.19.0" 0.029151
2026-08-07T15:27:13.738807Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points/search HTTP/1.1" 404 89 "-" "axios/1.19.0" 0.033026
2026-08-07T15:27:13.738808Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/coaching_history/points HTTP/1.1" 400 93 "-" "axios/1.19.0" 0.033034
